FECHA;BTC;ORO
10/9/2019;10099.57728;1498.25
11/9/2019;10159.56118;1490.65
12/9/2019;10420.84263;1515.2
13/9/2019;10362.14642;1503.1
16/9/2019;10265.33329;1497.2
17/9/2019;10187.57239;1502.1
18/9/2019;10156.22687;1503.5
19/9/2019;10275.72274;1500.7
20/9/2019;10171.32432;1501.9
23/9/2019;9685.724547;1522.1
24/9/2019;8533.920241;1520.65
25/9/2019;8434.54325;1528.75
26/9/2019;8058.424126;1506.4
27/9/2019;8193.471131;1489.9
30/9/2019;8303.758095;1485.3
1/10/2019;8322.83896;1473.45
2/10/2019;8381.225192;1492.6
3/10/2019;8238.230064;1517.1
4/10/2019;8155.659455;1499.15
7/10/2019;8209.445408;1501.25
8/10/2019;8187.882382;1505.85
9/10/2019;8590.434991;1507.25
10/10/2019;8585.761518;1494.8
11/10/2019;8268.655706;1479.15
14/10/2019;8354.836133;1490.6
15/10/2019;8162.119321;1487.8
16/10/2019;7999.400865;1485.1
17/10/2019;8075.419314;1492.65
18/10/2019;7954.804671;1490
21/10/2019;8220;1491.65
22/10/2019;8025.096057;1485.35
23/10/2019;7474.85;1494.45
24/10/2019;7431.554336;1496.55
25/10/2019;8668.187942;1513.45
28/10/2019;9218.625751;1492.4
29/10/2019;9431.613866;1486.75
30/10/2019;9166.19765;1492.1
31/10/2019;9153.75255;1510.95
1/11/2019;9252.298332;1508.8
4/11/2019;9415.514226;1509.45
5/11/2019;9315.434948;1488.95
6/11/2019;9342.646522;1486.05
7/11/2019;9203.975226;1484.25
8/11/2019;8765.032321;1464.15
11/11/2019;8719.061458;1458.7
12/11/2019;8808.5;1452.05
13/11/2019;8760.63327;1462.9
14/11/2019;8633.820893;1466.65
15/11/2019;8457.391696;1466.9
18/11/2019;8175.452526;1467.65
19/11/2019;8121.288679;1468.45
20/11/2019;8082.04168;1471.7
21/11/2019;7616.35458;1467.05
22/11/2019;7285.157042;1464.45
25/11/2019;7128.832327;1458.4
26/11/2019;7162.320595;1454.65
27/11/2019;7524.61101;1454.35
28/11/2019;7431.467493;1454.65
29/11/2019;7757.10944;1460.15
2/12/2019;7308.536303;1461.15
3/12/2019;7297.911636;1477.3
4/12/2019;7193.921351;1475.1
5/12/2019;7393.96861;1475.95
6/12/2019;7546.394517;1459.65
9/12/2019;7339.313974;1461.7
10/12/2019;7220.694258;1464.95
11/12/2019;7200.56446;1466.8
12/12/2019;7189.081378;1467.8
13/12/2019;7250.46117;1466.6
16/12/2019;6878.790545;1477.9
17/12/2019;6614.99036;1475.8
18/12/2019;7284.791811;1474.05
19/12/2019;7150.061923;1476.7
20/12/2019;7189.75;1479
23/12/2019;7323.102237;1482.1
24/12/2019;7253.663992;1482.1
25/12/2019;7192.1;1482.1
26/12/2019;7194.732394;1482.1
27/12/2019;7244.135023;1511.5
30/12/2019;7218.704277;1514.75
31/12/2019;7167.521408;1514.75
1/1/2020;7175.496997;1514.75
2/1/2020;6945.446804;1527.1
3/1/2020;7327.5;1548.75
6/1/2020;7761.758455;1573.1
7/1/2020;8164.04696;1567.85
8/1/2020;8042.761;1571.95
